OperatorName,Address.City,Address.PostalCode,Address.Street,Address.HouseNum,lat,lon,charger_count
AVIA VOLT Suisse AG,Küblis,7240,Hauptstrass 26,,46.91398,9.77259,2
AVIA VOLT Suisse AG,La Chaux-de-Fonds,2300,Boulevard des Éplatures 44,,47.08642,6.80007,2
AVIA VOLT Suisse AG,La Punt Chamues-ch,7522,Via Camünela 27,,46.57806,9.92678,2
AVIA VOLT Suisse AG,Landquart,7302,Bahnhofplatz 3A,,46.966898,9.555244,2
AVIA VOLT Suisse AG,Lucerne,6005,Langensandstrasse 23,,47.03759,8.32856,2
AVIA VOLT Suisse AG,Luzein,7246,Hauptstrasse,,46.969626,9.813476,2
AVIA VOLT Suisse AG,Luzern,6002,Seeburgstrasse 1,,47.05299,8.33933,2
AVIA VOLT Suisse AG,Malans,7208,Dorfplatz,,46.98213,9.57618,2
AVIA VOLT Suisse AG,Mettmenstetten,8932,Zürichstrasse 30,,47.24671588,8.46132251,2
AVIA VOLT Suisse AG,Meyrin,1217,Chemin de Riantbosson 19,,46.227139,6.085829,2
AVIA VOLT Suisse AG,Mulegns,7455,Veia Gelgia 85,,46.52419,9.62107,2
AVIA VOLT Suisse AG,"Mustér, Sumvitg",7180,Bahnhofstrasse,,46.70557,8.85682,2
AVIA VOLT Suisse AG,Neuhausen am Rheinfall,8212,Rheinweg 11,,47.69138,8.62318,2
AVIA VOLT Suisse AG,Niederhelfenschwil,9527,Oberdorf 10,,47.47397158,9.18345467,2
AVIA VOLT Suisse AG,Oberkirch,6208,Luzernstrasse 68,,47.154959,8.115458,2
AVIA VOLT Suisse AG,Oberkirch,6208,Müningen,,47.16213248,8.10768855,2
